smiles	status	PUBCHEM_CID	InChI	IUPAC	Isomeric_SMILES	Name	Source
ClCc1scc(n1)c1ccc(cc1)[N+](=O)[O-]	1	2782115	InChI=1S/C10H7ClN2O2S/c11-5-10-12-9(6-16-10)7-1-3-8(4-2-7)13(14)15/h1-4,6H,5H2	2-(chloromethyl)-4-(4-nitrophenyl)-1,3-thiazole	C1=CC(=CC=C1C2=CSC(=N2)CCl)[N+](=O)[O-]	Astragalus polysaccharide	DrugAge Database
CN([C@@H]1C(=O)C(=C([C@@]2([C@H]1[C@@H](O)[C@@H]1[C@@H](C)c3cccc(c3C(=C1C2=O)O)O)O)O)C(=O)N)C	1	54671203	InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1	(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide	C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	Doxycycline	DrugAge Database
CN([C@@H]1C(=O)C(=C([C@@]2([C@H]1C[C@@H]1Cc3c(C(=C1C2=O)O)c(O)ccc3N(C)C)O)O)C(=O)N)C	1	54675783	InChI=1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(11,33)20(30)14(9)18(15)28/h5-6,9,11,17,27-28,31,33H,7-8H2,1-4H3,(H2,24,32)/t9-,11-,17-,23-/m0/s1	(4S,4aS,5aR,12aR)-4,7-bis(dimethylamino)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide	CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C	Minocycline	DrugAge Database
CN([C@@H]1C(=O)C(=C([C@@]2([C@H]1C[C@H]1C(=C(O)c3c([C@H]1O)c(Cl)ccc3O)C2=O)O)O)C(=O)N)C	1	54680690	InChI=1S/C21H21ClN2O8/c1-24(2)14-7-5-6-10(16(27)12-9(25)4-3-8(22)11(12)15(6)26)18(29)21(7,32)19(30)13(17(14)28)20(23)31/h3-4,6-7,14-15,25-27,30,32H,5H2,1-2H3,(H2,23,31)/t6-,7-,14-,15-,21-/m0/s1	(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide	CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O	Demeclocycline hydrochloride	Geroprotective Compounds
CN(C(=O)n1cnc(c1)c1cccnc1)C1CCCCC1	1	66554294	InChI=1S/C16H20N4O/c1-19(14-7-3-2-4-8-14)16(21)20-11-15(18-12-20)13-6-5-9-17-10-13/h5-6,9-12,14H,2-4,7-8H2,1H3	N-cyclohexyl-N-methyl-4-pyridin-3-ylimidazole-1-carboxamide	CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3	BIA 10-2639	DrugAge Database
CN(C(CN1c2ccccc2Sc2c1cccc2)C)C	1	4927	InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3	N,N-dimethyl-1-phenothiazin-10-ylpropan-2-amine	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C	Promethazine hydrochloride	Geroprotective Compounds
CN(c1c(C)n(n(c1=O)c1ccccc1)C)CS(=O)(=O)O	1	3111	InChI=1S/C13H17N3O4S/c1-10-12(14(2)9-21(18,19)20)13(17)16(15(10)3)11-7-5-4-6-8-11/h4-8H,9H2,1-3H3,(H,18,19,20)	[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-methylamino]methanesulfonic acid	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O	Metamizole	DrugAge Database
CN(c1ccc2c(c1)sc1-c(n2)ccc(=[N+](C)C)c1)C	1	4139	InChI=1S/C16H18N3S/c1-18(2)11-5-7-13-15(9-11)20-16-10-12(19(3)4)6-8-14(16)17-13/h5-10H,1-4H3/q+1	[7-(dimethylamino)phenothiazin-3-ylidene]-dimethylazanium	CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2	Methylene blue	Geroprotective Compounds
CN(c1ncc2c(c1)c(ncn2)Nc1ccc2c(c1)cnn2Cc1ccccc1)C	0	6603857	InChI=1S/C23H21N7/c1-29(2)22-11-19-20(13-24-22)25-15-26-23(19)28-18-8-9-21-17(10-18)12-27-30(21)14-16-6-4-3-5-7-16/h3-13,15H,14H2,1-2H3,(H,25,26,28)	4-N-(1-benzylindazol-5-yl)-6-N,6-N-dimethylpyrido[3,4-d]pyrimidine-4,6-diamine	CN(C)C1=NC=C2C(=C1)C(=NC=N2)NC3=CC4=C(C=C3)N(N=C4)CC5=CC=CC=C5	GW2974	PMID: 24134630
CN(CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C	1	667467	InChI=1S/C18H18ClNS/c1-20(2)11-5-7-14-15-6-3-4-8-17(15)21-18-10-9-13(19)12-16(14)18/h3-4,6-10,12H,5,11H2,1-2H3/b14-7-	(3Z)-3-(2-chlorothioxanthen-9-ylidene)-N,N-dimethylpropan-1-amine	CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	Chlorprothixene hydrochloride	Geroprotective Compounds
CN(CCc1ccc(cc1)NS(=O)(=O)C)CCOc1ccc(cc1)NS(=O)(=O)C	1	71329	InChI=1S/C19H27N3O5S2/c1-22(13-12-16-4-6-17(7-5-16)20-28(2,23)24)14-15-27-19-10-8-18(9-11-19)21-29(3,25)26/h4-11,20-21H,12-15H2,1-3H3	N-[4-[2-[2-[4-(methanesulfonamido)phenoxy]ethyl-methylamino]ethyl]phenyl]methanesulfonamide	CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C	Dofetilide	DrugAge Database
CN(CCOC(=O)COc1ccc(cc1)Cl)C	1	4039	InChI=1S/C12H16ClNO3/c1-14(2)7-8-16-12(15)9-17-11-5-3-10(13)4-6-11/h3-6H,7-9H2,1-2H3	2-(dimethylamino)ethyl 2-(4-chlorophenoxy)acetate	CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl	Dimethylaminoethyl p-chlorophenoxyacetate	DrugAge Database
CN[C@@H](C(=O)O)CC(=O)O	0	22880	InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1	(2R)-2-(methylamino)butanedioic acid	CN[C@H](CC(=O)O)C(=O)O	N-Methyl-D-aspartic acid	PMID: 24134630
CN[C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O	1	44259	InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1	(2S,3R,4R,6R)-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	Staurosporine	DrugAge Database
Cn1c(=O)[nH]c2c(c1=O)[nH]cn2	1	80220	InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)	1-methyl-3,7-dihydropurine-2,6-dione	CN1C(=O)C2=C(NC1=O)N=CN2	1-methylxanthine	DrugAge Database
CN1C(=O)CCS(=O)(=O)C1c1ccc(cc1)Cl	0	2717	InChI=1S/C11H12ClNO3S/c1-13-10(14)6-7-17(15,16)11(13)8-2-4-9(12)5-3-8/h2-5,11H,6-7H2,1H3	2-(4-chlorophenyl)-3-methyl-1,1-dioxo-1,3-thiazinan-4-one	CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl	Chlormezanone	PMID: 24134630
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2	1	2153	InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)	1,3-dimethyl-7H-purine-2,6-dione	CN1C2=C(C(=O)N(C1=O)C)NC=N2	Theophylline	DrugAge Database
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N[C@]1(C)O[C@@]2(N(C1=O)[C@@H](Cc1ccccc1)C(=O)N1[C@H]2CCC1)O	1	10531	InChI=1S/C33H37N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,17,21,23,25-27,34,42H,7,12-16,18H2,1-2H3,(H,35,39)/t21-,23-,25-,26+,27+,32-,33+/m1/s1	(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C	Dihydroergotamine methanesulfonate	Geroprotective Compounds
CN1C2CCC1CC(C2)OC(c1ccccc1N)c1ccccc1	0	2143	InChI=1S/C21H26N2O/c1-23-16-11-12-17(23)14-18(13-16)24-21(15-7-3-2-4-8-15)19-9-5-6-10-20(19)22/h2-10,16-18,21H,11-14,22H2,1H3	2-[(8-methyl-8-azabicyclo[3.2.1]octan-3-yl)oxy-phenylmethyl]aniline	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4N	Aminobenztropine	PMID: 24134630
Cn1c2nc([nH]c2c(=O)n(c1=O)C)c1ccc(cc1)S(=O)(=O)O	0	1908	InChI=1S/C13H12N4O5S/c1-16-11-9(12(18)17(2)13(16)19)14-10(15-11)7-3-5-8(6-4-7)23(20,21)22/h3-6H,1-2H3,(H,14,15)(H,20,21,22)	4-(1,3-dimethyl-2,6-dioxo-7H-purin-8-yl)benzenesulfonic acid	CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O	8-(p-Sulfophenyl)theophylline	PMID: 24134630
Cn1c2nc([nH]c2c(=O)n(c1=O)C)C1CCCC1	0	1917	InChI=1S/C12H16N4O2/c1-15-10-8(11(17)16(2)12(15)18)13-9(14-10)7-5-3-4-6-7/h7H,3-6H2,1-2H3,(H,13,14)	8-cyclopentyl-1,3-dimethyl-7H-purine-2,6-dione	CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3	8-Cyclopentyl-1,3-dimethylxanthine	PMID: 24134630
CN1CCC(=CC1)c1ccccc1	1	1388	InChI=1S/C12H15N/c1-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-7H,8-10H2,1H3	1-methyl-4-phenyl-3,6-dihydro-2H-pyridine	CN1CCC(=CC1)C2=CC=CC=C2	MPTP	DrugAge Database
CN1CCc2c(C(C1)c1cccc(c1)Cl)cc(c(c2Cl)O)O	0	9819203	InChI=1S/C17H17Cl2NO2/c1-20-6-5-12-13(8-15(21)17(22)16(12)19)14(9-20)10-3-2-4-11(18)7-10/h2-4,7-8,14,21-22H,5-6,9H2,1H3	9-chloro-5-(3-chlorophenyl)-3-methyl-1,2,4,5-tetrahydro-3-benzazepine-7,8-diol	CN1CCC2=C(C(=C(C=C2C(C1)C3=CC(=CC=C3)Cl)O)O)Cl	SKF 83565 hydrobromide	PMID: 24134630
CN1CCc2c(C1)c1ccccc1n2Cc1ccccc1	1	22530	InChI=1S/C19H20N2/c1-20-12-11-19-17(14-20)16-9-5-6-10-18(16)21(19)13-15-7-3-2-4-8-15/h2-10H,11-14H2,1H3	5-benzyl-2-methyl-3,4-dihydro-1H-pyrido[4,3-b]indole	CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=CC=C4	6526-0645	DrugAge Database
CN1CCc2c(CC1)cccc2Cl	0	123981	InChI=1S/C11H14ClN/c1-13-7-5-9-3-2-4-11(12)10(9)6-8-13/h2-4H,5-8H2,1H3	6-chloro-3-methyl-1,2,4,5-tetrahydro-3-benzazepine	CN1CCC2=C(CC1)C(=CC=C2)Cl	SKF 86466	PMID: 24134630
CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2	1	3964	InChI=1S/C18H18ClN3O/c1-21-8-10-22(11-9-21)18-14-12-13(19)6-7-16(14)23-17-5-3-2-4-15(17)20-18/h2-7,12H,8-11H2,1H3	8-chloro-6-(4-methylpiperazin-1-yl)benzo[b][1,4]benzoxazepine	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	Loxapine succinate	Geroprotective Compounds
CN1CCN(CC1)C1Cc2ccccc2Sc2c1cc(Cl)cc2	1	1238	InChI=1S/C19H21ClN2S/c1-21-8-10-22(11-9-21)17-12-14-4-2-3-5-18(14)23-19-7-6-15(20)13-16(17)19/h2-7,13,17H,8-12H2,1H3	1-(3-chloro-5,6-dihydrobenzo[b][1]benzothiepin-5-yl)-4-methylpiperazine	CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)Cl	Octoclothepin maleate	DrugAge Database
CN1CCN2C(C1)c1ccccc1Cc1c2cccc1	1	4184	InChI=1S/C18H20N2/c1-19-10-11-20-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(20)13-19/h2-9,18H,10-13H2,1H3	5-methyl-2,5-diazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaene	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	Mianserin	DrugAge Database
Cn1cnc2c1c(=O)[nH]c(=O)n2C	0	5429	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	3,7-dimethylpurine-2,6-dione	CN1C=NC2=C1C(=O)NC(=O)N2C	Theobromine	PMID: 24134630
Cn1cnc2c1c(=O)n(c(=O)[nH]2)C	1	4687	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	1,7-dimethyl-3H-purine-2,6-dione	CN1C=NC2=C1C(=O)N(C(=O)N2)C	1,7-dimethylxanthine	DrugAge Database
Cn1cnc2c1c(=O)n(C)c(=O)n2C	1	2519	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	1,3,7-trimethylpurine-2,6-dione	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	Caffeine	DrugAge Database
Cn1cncc1	0	1390	InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3	1-methylimidazole	CN1C=CN=C1	1-Methylimidazole	PMID: 24134630
CNC(=O)[C@H]1O[C@H](C([C@H]1O)O)n1cnc2c1ncnc2N	0	11957446	InChI=1S/C11H14N6O4/c1-13-10(20)7-5(18)6(19)11(21-7)17-3-16-4-8(12)14-2-15-9(4)17/h2-3,5-7,11,18-19H,1H3,(H,13,20)(H2,12,14,15)/t5-,6?,7+,11-/m1/s1	(2S,3R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-N-methyloxolane-2-carboxamide	CNC(=O)[C@@H]1[C@@H](C([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O	5'-N-Methyl carboxamidoadenosine	PMID: 24134630
CNc1ncccn1	1	265776	InChI=1S/C5H7N3/c1-6-5-7-3-2-4-8-5/h2-4H,1H3,(H,6,7,8)	N-methylpyrimidin-2-amine	CNC1=NC=CC=N1	JH4	Geroprotective Compounds
CNCCC(c1ccccc1)Oc1ccccc1C	0	6850813	InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3	N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine	CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2	Tomoxetine	PMID: 24134630
CNCCC=C1c2ccccc2CCc2c1cccc2	1	4543	InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3	N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	Nortriptyline hydrochloride	Geroprotective Compounds
CO[C@@H]1C[C@@H](CC[C@H]1O)C[C@H]([C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H](CC[C@H]2C)C[C@H](OC)/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C1)C)/C)O)OC)C)C)/C)C	1	5284616	InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11+,16-12+,31-17+,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1	(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	Rapamycin	DrugAge Database
CO[C@H]([C@H](/C(=C\C(=O)N)/OC)C)/C=C/c1csc(n1)c1csc(n1)[C@H](/C=C/C=C/C(C)C)C	1	10972974	InChI=1S/C25H33N3O3S2/c1-16(2)9-7-8-10-17(3)24-28-20(15-33-24)25-27-19(14-32-25)11-12-21(30-5)18(4)22(31-6)13-23(26)29/h7-18,21H,1-6H3,(H2,26,29)/b9-7+,10-8+,12-11+,22-13+/t17-,18+,21-/m0/s1	(2E,4R,5S,6E)-3,5-dimethoxy-4-methyl-7-[2-[2-[(2S,3E,5E)-7-methylocta-3,5-dien-2-yl]-1,3-thiazol-4-yl]-1,3-thiazol-4-yl]hepta-2,6-dienamide	C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC	Myxothiazol	DrugAge Database
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C	1	135398735	InChI=1S/C43H58N4O12/c1-21-12-11-13-22(2)42(55)45-33-28(20-44-47-17-15-46(9)16-18-47)37(52)30-31(38(33)53)36(51)26(6)40-32(30)41(54)43(8,59-40)57-19-14-29(56-10)23(3)39(58-27(7)48)25(5)35(50)24(4)34(21)49/h11-14,19-21,23-25,29,34-35,39,49-53H,15-18H2,1-10H3,(H,45,55)/b12-11+,19-14+,22-13-,44-20+/t21-,23+,24+,25+,29-,34-,35+,39+,43-/m0/s1	[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C	Rifampicin	DrugAge Database
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)cc(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C	1	6324616	InChI=1S/C37H47NO12/c1-16-11-10-12-17(2)36(46)38-23-15-24(40)26-27(32(23)44)31(43)21(6)34-28(26)35(45)37(8,50-34)48-14-13-25(47-9)18(3)33(49-22(7)39)20(5)30(42)19(4)29(16)41/h10-16,18-20,25,29-30,33,40-44H,1-9H3,(H,38,46)/b11-10+,14-13+,17-12-/t16-,18+,19+,20+,25-,29-,30+,33+,37-/m0/s1	[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C	Rifamycin SV	DrugAge Database
CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(C2=O)NC(=O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)OC)/C	1	5288674	InChI=1S/C32H48N4O8/c1-18-14-22-27(34-12-13-36(5)6)24(37)17-23(29(22)39)35-31(40)19(2)10-9-11-25(42-7)30(44-32(33)41)21(4)16-20(3)28(38)26(15-18)43-8/h9-11,16-18,20,25-26,28,30,34,38H,12-15H2,1-8H3,(H2,33,41)(H,35,40)/b11-9-,19-10+,21-16+/t18-,20+,25+,26+,28-,30+/m1/s1	[(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-19-[2-(dimethylamino)ethylamino]-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC	17-DMAG	Geroprotective Compounds
CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(C2=O)NC(=O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)OC)/C	1	5288382	InChI=1S/C29H40N2O9/c1-15-11-19-25(34)20(14-21(32)27(19)39-7)31-28(35)16(2)9-8-10-22(37-5)26(40-29(30)36)18(4)13-17(3)24(33)23(12-15)38-6/h8-10,13-15,17,22-24,26,33H,11-12H2,1-7H3,(H2,30,36)(H,31,35)/b10-8-,16-9+,18-13+/t15-,17+,22+,23+,24-,26+/m1/s1	[(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	Geldanamycin	DrugAge Database
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@]2(C3)CC[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C	1	6321424	InChI=1S/C48H74O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3/b13-12+,27-15+,32-14+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+/m0/s1	(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one	CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C	Ivermectin	DrugAge Database
